file	line	declaration	note
lib/screens/actor_media_screen.dart	207	CustomAppBar(title: Text(widget.actorName), pinned: true, actions: buildFocusableAppBarActions()),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	316	onPressed: _retry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	318	onPressed: _retry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	327	onPressed: _switchToJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	329	onPressed: _switchToJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	356	onPressed: _switchToJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	358	onPressed: _switchToJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	447	onPressed: busy ? null : browser,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	448	child: FilledButton(onPressed: busy ? null : browser, child: Text(t.auth.signInWithPlex)),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	452	onPressed: busy ? null : qr,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	453	child: OutlinedButton(onPressed: busy ? null : qr, child: Text(t.auth.showQRCode)),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	492	onPressed: _retry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	494	onPressed: _retry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	523	onPressed: _retry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth/plex_pin_auth_flow.dart	525	onPressed: _retry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	489	onPressed: onPressed,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	526	onPressed: busy ? null : plexAction,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	528	onPressed: busy ? null : plexAction,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
